dataset,source,distribution,test,config,n_points,n_queries,k,build_s,kd3_s,kd3_qps,nf_build_s,nf_s,nf_qps,kd3_ok,nf_ok
synthetic-mixture,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0381611,0.676194,147887,0.134198,0.110176,907641,1,1
synthetic-mixture,generator,on-cloud,nn1,fast,1000000,100000,1,0.0381611,0.0302166,3.30944e+06,0.134198,0.0871333,1.14767e+06,1,1
synthetic-mixture,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.0359792,0.109799,910757,0.134198,0.110176,907641,1,1
synthetic-mixture,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.0359792,0.0393,2.54453e+06,0.134198,0.0871333,1.14767e+06,1,1
synthetic-anisotropic,generator,bbox-volume,knn,base,1000000,100000,10,0.0320249,29.4198,3399.08,0.134389,0.814877,122718,1,1
synthetic-anisotropic,generator,on-cloud,knn,base,1000000,100000,10,0.0320249,0.133047,751611,0.134389,0.301949,331182,1,1
synthetic-anisotropic,generator,bbox-volume,knn,aabb,1000000,100000,10,0.0325823,0.89298,111985,0.134389,0.814877,122718,1,1
synthetic-anisotropic,generator,on-cloud,knn,aabb,1000000,100000,10,0.0325823,0.16107,620850,0.134389,0.301949,331182,1,1
synthetic-anisotropic,generator,bbox-volume,nn1,base,1000000,100000,1,0.0335064,25.7761,3879.56,0.134389,0.341338,292965,1,1
synthetic-anisotropic,generator,on-cloud,nn1,base,1000000,100000,1,0.0335064,0.0388748,2.57236e+06,0.134389,0.108288,923465,1,1
synthetic-anisotropic,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.0334606,0.306864,325877,0.134389,0.341338,292965,1,1
synthetic-anisotropic,generator,on-cloud,nn1,aabb,1000000,100000,1,0.0334606,0.0466842,2.14205e+06,0.134389,0.108288,923465,1,1
synthetic-anisotropic,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0272376,9.49008,10537.3,0.134389,0.341338,292965,1,1
synthetic-anisotropic,generator,on-cloud,nn1,fast,1000000,100000,1,0.0272376,0.0228997,4.36687e+06,0.134389,0.108288,923465,1,1
synthetic-anisotropic,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.0340943,0.237406,421219,0.134389,0.341338,292965,1,1
synthetic-anisotropic,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.0340943,0.038748,2.58078e+06,0.134389,0.108288,923465,1,1
synthetic-sphere-shell,generator,bbox-volume,knn,base,1000000,100000,10,0.0326339,5.28416,18924.5,0.12929,2.08892,47871.7,1,1
synthetic-sphere-shell,generator,on-cloud,knn,base,1000000,100000,10,0.0326339,0.104203,959663,0.12929,0.256578,389746,1,1
synthetic-sphere-shell,generator,bbox-volume,knn,aabb,1000000,100000,10,0.0338068,0.797091,125456,0.12929,2.08892,47871.7,1,1
synthetic-sphere-shell,generator,on-cloud,knn,aabb,1000000,100000,10,0.0338068,0.145547,687064,0.12929,0.256578,389746,1,1
